Non-Ordinary step!!. step=711594, t=2.13478e+06, gorputza=79,k=4
Non-Ordinary step!!. step=711595, t=2.13478e+06, gorputza=78,k=6
Non-Ordinary step!!. step=711595, t=2.13478e+06, gorputza=79,k=6
Non-Ordinary step!!. step=711595, t=2.13478e+06, gorputza=80,k=6
Non-Ordinary step!!. step=711596, t=2.13479e+06, gorputza=33,k=8
Non-Ordinary step!!. step=711596, t=2.13479e+06, gorputza=34,k=8
Non-Ordinary step!!. step=711596, t=2.13479e+06, gorputza=35,k=8
Non-Ordinary step!!. step=711596, t=2.13479e+06, gorputza=75,k=8
Non-Ordinary step!!. step=711596, t=2.13479e+06, gorputza=76,k=8
Non-Ordinary step!!. step=711596, t=2.13479e+06, gorputza=77,k=8
Non-Ordinary step!!. step=711596, t=2.13479e+06, gorputza=78,k=8
Non-Ordinary step!!. step=711596, t=2.13479e+06, gorputza=79,k=8
Non-Ordinary step!!. step=711596, t=2.13479e+06, gorputza=80,k=8
Non-Ordinary step!!. step=711597, t=2.13479e+06, gorputza=32,k=8
Non-Ordinary step!!. step=711597, t=2.13479e+06, gorputza=33,k=8
Non-Ordinary step!!. step=711597, t=2.13479e+06, gorputza=34,k=8
Non-Ordinary step!!. step=711597, t=2.13479e+06, gorputza=35,k=8
Non-Ordinary step!!. step=711597, t=2.13479e+06, gorputza=75,k=8
Non-Ordinary step!!. step=711597, t=2.13479e+06, gorputza=76,k=8
Non-Ordinary step!!. step=711597, t=2.13479e+06, gorputza=77,k=8
Non-Ordinary step!!. step=711597, t=2.13479e+06, gorputza=78,k=8
Non-Ordinary step!!. step=711597, t=2.13479e+06, gorputza=79,k=8
Non-Ordinary step!!. step=711597, t=2.13479e+06, gorputza=80,k=8
Non-Ordinary step!!. step=711598, t=2.13479e+06, gorputza=33,k=6
Non-Ordinary step!!. step=711598, t=2.13479e+06, gorputza=34,k=6
Non-Ordinary step!!. step=711598, t=2.13479e+06, gorputza=35,k=6
Non-Ordinary step!!. step=711598, t=2.13479e+06, gorputza=75,k=6
Non-Ordinary step!!. step=711598, t=2.13479e+06, gorputza=76,k=6
Non-Ordinary step!!. step=711598, t=2.13479e+06, gorputza=77,k=6
Non-Ordinary step!!. step=711598, t=2.13479e+06, gorputza=78,k=6
Non-Ordinary step!!. step=711598, t=2.13479e+06, gorputza=79,k=6
Non-Ordinary step!!. step=711598, t=2.13479e+06, gorputza=80,k=6
Non-Ordinary step!!. step=711599, t=2.1348e+06, gorputza=79,k=4
Non-Ordinary step!!. step=711599, t=2.1348e+06, gorputza=80,k=4
Non-Ordinary step!!. step=763039, t=2.28912e+06, gorputza=78,k=3
Non-Ordinary step!!. step=763039, t=2.28912e+06, gorputza=79,k=3
Non-Ordinary step!!. step=763039, t=2.28912e+06, gorputza=80,k=3
Non-Ordinary step!!. step=763040, t=2.28912e+06, gorputza=78,k=4
Non-Ordinary step!!. step=763040, t=2.28912e+06, gorputza=79,k=4
Non-Ordinary step!!. step=763040, t=2.28912e+06, gorputza=80,k=4
Non-Ordinary step!!. step=763041, t=2.28912e+06, gorputza=78,k=4
Non-Ordinary step!!. step=763041, t=2.28912e+06, gorputza=79,k=4
Non-Ordinary step!!. step=763041, t=2.28912e+06, gorputza=80,k=4
Non-Ordinary step!!. step=763042, t=2.28913e+06, gorputza=78,k=4
Non-Ordinary step!!. step=763042, t=2.28913e+06, gorputza=79,k=4
Non-Ordinary step!!. step=1258688, t=3.77606e+06, gorputza=73,k=3
Non-Ordinary step!!. step=1258689, t=3.77607e+06, gorputza=72,k=5
Non-Ordinary step!!. step=1258689, t=3.77607e+06, gorputza=73,k=5
Non-Ordinary step!!. step=1258689, t=3.77607e+06, gorputza=74,k=5
Non-Ordinary step!!. step=1258689, t=3.77607e+06, gorputza=75,k=5
Non-Ordinary step!!. step=1258689, t=3.77607e+06, gorputza=76,k=5
Non-Ordinary step!!. step=1258689, t=3.77607e+06, gorputza=77,k=5
Non-Ordinary step!!. step=1258690, t=3.77607e+06, gorputza=27,k=8
Non-Ordinary step!!. step=1258690, t=3.77607e+06, gorputza=28,k=8
Non-Ordinary step!!. step=1258690, t=3.77607e+06, gorputza=29,k=8
Non-Ordinary step!!. step=1258690, t=3.77607e+06, gorputza=30,k=8
Non-Ordinary step!!. step=1258690, t=3.77607e+06, gorputza=31,k=8
Non-Ordinary step!!. step=1258690, t=3.77607e+06, gorputza=32,k=8
Non-Ordinary step!!. step=1258690, t=3.77607e+06, gorputza=72,k=8
Non-Ordinary step!!. step=1258690, t=3.77607e+06, gorputza=73,k=8
Non-Ordinary step!!. step=1258690, t=3.77607e+06, gorputza=74,k=8
